Model,Selling Price,Kilometers Driven,Year,Owner,Fuel Type,Transmission,Insurance,Car Condition
HyundaiElitei20SPORTZ,518099,61923,2015,First Owner,Petrol,MANUAL,Expired,4.4
MarutiZenEstilo,211799,39612,2010,Third Owner,Petrol,MANUAL,13-06-2021,4.2
MarutiCelerioZXI,332627,58558,2015,First Owner,Petrol,AUTOMATIC,09-11-2021,4.3
MarutiSwiftDzireVDIBS,477214,72553,2013,First Owner,Diesel,MANUAL,Expired,4.4
MarutiBalenoALPHA1.2,669899,13931,2018,First Owner,Petrol,MANUAL,08-04-2021,4.9
MarutiSwiftVDI,447799,48780,2016,Second Owner,Diesel,MANUAL,04-04-2021,4.7
TataTiagoXT1.2,318699,86339,2016,First Owner,Petrol,MANUAL,Expired,4.3
MahindraBoleroPower+,840899,25376,2018,First Owner,Diesel,MANUAL,16-10-2021,4.7
HyundaiElitei20MAGNA1.4,667699,15683,2017,First Owner,Petrol,AUTOMATIC,03-04-2021,4.8
MarutiSX4,210799,117838,2011,First Owner,Diesel,MANUAL,15-06-2021,4.1
MarutiBalenoDELTA1.2K12,573999,28083,2017,First Owner,Petrol,AUTOMATIC,26-09-2021,4.8
MarutiSwiftVXI,315099,45714,2010,Second Owner,Petrol,MANUAL,Expired,4.1
HondaCityVMT,319399,50615,2011,First Owner,Petrol,MANUAL,08-10-2021,4.4
MahindraXUV500W8,441699,59608,2012,First Owner,Diesel,MANUAL,30-04-2021,4.1
HyundaiVENUE1.4CRDIMT,991699,2823,2019,First Owner,Diesel,UP32,Zero_Dep,4.9
MarutiSwift,260699,141644,2012,First Owner,Petrol,MANUAL,28-07-2021,4.2
ToyotaEtiosLiva,311899,105493,2013,Second Owner,Diesel,MANUAL,23-07-2021,4.4
Hyundaii20MAGNAO1.4,363099,83767,2012,First Owner,Diesel,MANUAL,03-05-2021,4.2
MarutiAltoK10VXI,375799,11362,2015,First Owner,Petrol,KA01,Comp,4.8
MarutiSwift,341399,61365,2012,Second Owner,Diesel,MANUAL,01-08-2021,4.8
FordEcosport1.5TITANIUMTI,486599,87581,2014,First Owner,Petrol,MANUAL,09-01-2022,4.3
MarutiSwift,292399,96637,2012,Second Owner,Diesel,MANUAL,14-10-2021,4.2
Hyundaii10SPORTZ1.2,227299,76177,2012,First Owner,Petrol,MANUAL,11-04-2021,4.9
HondaBrio1.2VMTI,352699,33953,2013,Second Owner,Petrol,MANUAL,29-11-2021,4.2
MarutiErtigaZXISMARTHYBRID,840799,17435,2019,First Owner,Petrol,HR03,Third_party,4.9
HondaCityVXMT,467199,89834,2014,First Owner,Diesel,MANUAL,15-02-2021,4.2
HondaCityVXMT,606099,83278,2014,First Owner,Diesel,MANUAL,16-05-2021,4.6
MarutiAlto800,180996,49275,2013,First Owner,Petrol,MANUAL,Expired,4.2
MarutiAltoK10VXI,323699,19138,2016,First Owner,Petrol,MH12,Comp,4.5
HondaBrio1.2VMTI,219168,62852,2012,Second Owner,Petrol,MANUAL,07-05-2021,4.1
MahindraScorpioS6,1045899,47310,2016,First Owner,Diesel,MANUAL,08-06-2021,4.4
HyundaiVENUE1.0LTurboGDISX(O),977199,8701,2019,First Owner,Petrol,MH04,Zero_Dep,4.8
MarutiAlto800,332699,8393,2019,First Owner,Petrol,MANUAL,17-04-2021,4.8
HondaAccord2.4ATI,282699,188777,2010,First Owner,Petrol,AUTOMATIC,11-09-2021,4.2
ToyotaCorollaAltis,671199,52544,2014,Second Owner,Petrol,MANUAL,07-08-2021,4.3
VolkswagenPoloHIGHLINE1.2L,407999,33913,2014,First Owner,Petrol,MANUAL,26-07-2021,4.2
MarutiRitz,240099,44432,2013,Second Owner,Diesel,MANUAL,04-01-2021,4.4
MarutiAltoK10,142999,59096,2010,First Owner,Petrol,MANUAL,Comp,4.3
HyundaiVernaFLUIDIC1.6SXVTVT,422699,82265,2011,First Owner,Petrol,MANUAL,31-07-2021,4.2
HyundaiGrandi10SPORTS1.2,418699,39422,2013,First Owner,Petrol,MANUAL,Expired,4.4
MarutiWagonR1.0,345999,60412,2012,First Owner,Petrol,MANUAL,01-04-2021,4.2
HondaCitySMT,313900,83050,2011,First Owner,Petrol,MANUAL,28-09-2021,4.5
HyundaiSantroXingGL,195800,111397,2013,First Owner,Petrol,MANUAL,Expired,4.3
VolkswagenVentoHIGHLINE,301074,71219,2012,First Owner,Diesel,MANUAL,24-07-2021,4.3
MarutiAltoK10,264397,30539,2015,First Owner,Petrol,MANUAL,03-04-2021,4.5
MarutiSwiftZDI,723699,35067,2018,First Owner,Diesel,MANUAL,27-08-2022,4.8
MarutiAltoK10,277499,64058,2012,First Owner,Petrol,MANUAL,26-09-2021,4.2
MarutiErtiga,385699,54397,2012,First Owner,Diesel,MANUAL,Expired,4.4
MarutiCelerioVXI,347799,95945,2015,First Owner,Petrol + CNG,MANUAL,01-08-2021,4.5
MarutiAltoK10VXI(O),368481,2610,2018,Second Owner,Petrol,MH01,Zero Depreciation,4.9
MarutiSwift,315999,164127,2012,First Owner,Diesel,MANUAL,14-01-2021,4.5
Hyundaii10MAGNA,160099,68478,2008,First Owner,Petrol,MANUAL,20-01-2021,4.4
HyundaiElitei201.2MAGNAPLUS,693799,15086,2019,First Owner,Petrol,KA53,Comp,4.8
HyundaiEonMAGNA,263199,41513,2013,First Owner,Petrol,MANUAL,18-08-2021,4.1
MarutiAltoK10,270899,70973,2011,First Owner,Petrol,MANUAL,01-01-2021,4.3
MarutiAltoK10,338699,27570,2018,First Owner,Petrol,MANUAL,29-07-2021,4.8
HondaCityV,420999,42481,2012,Second Owner,Petrol,AUTOMATIC,30-01-2021,4
HondaCitySMT,410399,73247,2012,Third Owner,Petrol,MANUAL,16-12-2021,4.5
MarutiAlto,367599,3710,2020,First Owner,Petrol,MANUAL,10-06-2021,4.9
VolkswagenVentoHIGHLINE,255099,84630,2011,First Owner,Petrol,MANUAL,Expired,4.1
MarutiBalenoDELTA1.2,681999,15615,2018,First Owner,Petrol,MANUAL,29-08-2021,4.9
MarutiSwiftDzireVXI1.2BS,313774,15248,2011,First Owner,Petrol,MANUAL,18-02-2021,4.6
MarutiAltoK10,156499,45362,2012,Second Owner,Petrol,MANUAL,28-09-2021,4.2
HyundaiVernaFLUIDIC1.6SXCRDI,521499,41856,2013,First Owner,Diesel,MANUAL,22-08-2021,4.4
MahindraScorpioS6,977099,43867,2016,First Owner,Diesel,MANUAL,13-09-2021,4.7
Hyundaii20MAGNA1.2,181699,68656,2009,Third Owner,Petrol,MANUAL,Expired,4
MarutiSwiftDzireLXI1.2BS,456299,173110,2013,First Owner,Petrol + CNG,MANUAL,Expired,4.2
ToyotaEtios,235499,114409,2011,First Owner,Diesel,MANUAL,31-01-2021,4.2
NissanMicraXVPREMIUM,348540,72949,2012,First Owner,Diesel,MANUAL,23-09-2021,4
MarutiZenEstilo,222252,43196,2010,Second Owner,Petrol,MANUAL,20-08-2021,4
MarutiAltoK10,305199,50294,2014,First Owner,Petrol,MANUAL,04-10-2021,4.4
HyundaiGrandi10SPORTZ(O)1.2AT,492599,85389,2017,First Owner,Petrol,MH05,Comp,4.5
MarutiAlto,236300,102742,2009,First Owner,Petrol,MANUAL,10-12-2021,4
VolkswagenPoloHIGHLINE1.2L,283399,114877,2014,First Owner,Diesel,MANUAL,28-06-2021,4.4
MarutiWagonR1.0LXICNG,424099,20570,2017,Second Owner,Petrol + CNG,MANUAL,Expired,4.5
MarutiVitaraBrezza,779699,37265,2019,First Owner,Diesel,MANUAL,31-01-2022,4.8
MarutiVitaraBrezza,756299,39833,2019,First Owner,Diesel,MANUAL,12-09-2022,4.3
HondaAmaze1.2SMTI,345499,58944,2013,Second Owner,Petrol,MANUAL,20-06-2021,4.3
HyundaiVernaFLUIDIC1.6SX,354799,119265,2013,First Owner,Petrol,MANUAL,08-05-2021,4.2
HyundaiGrandi10ASTAAT1.2KAPPA,443499,90217,2016,First Owner,Petrol,MANUAL,08-10-2021,4
ToyotaInnova2.5GX8STRBS,787499,147140,2013,First Owner,Diesel,MANUAL,28-11-2021,4.3
HyundaiElitei20ASTA,595299,35045,2017,First Owner,Petrol,MANUAL,04-12-2021,4.6
HondaAmaze1.2SMTI,397299,38790,2014,First Owner,Petrol,MANUAL,23-11-2021,4.5
MarutiAlto800,309399,8105,2018,First Owner,Petrol,MANUAL,29-10-2021,4.9
Hyundaii20MAGNAO1.4,406788,78618,2013,First Owner,Diesel,MANUAL,15-09-2021,4
HyundaiSantroXing,116766,63586,2008,First Owner,Petrol,MANUAL,23-01-2022,4.3
MarutiSwift,406799,34459,2013,First Owner,Petrol,MANUAL,02-09-2021,4.3
MarutiBalenoDELTA1.2,551799,40382,2017,Second Owner,Petrol,MANUAL,27-03-2021,4.6
DatsunRediGo,184383,31153,2016,Second Owner,Petrol,MANUAL,25-08-2021,4.4
HondaBrio1.2SMTI,306499,43469,2012,First Owner,Petrol,MANUAL,17-09-2021,4.2
HondaCityVMT,227399,148906,2009,Second Owner,Petrol,MANUAL,28-07-2021,3.6
HondaCity1.5V,910099,12538,2019,First Owner,Petrol,MANUAL,13-06-2021,4.8
MarutiSwift,428599,53390,2013,First Owner,Petrol,MANUAL,15-09-2021,4.7
HyundaiGrandi10SPORTZ1.2KAPPA,410740,65299,2014,Second Owner,Petrol,MANUAL,02-07-2021,4.4
MarutiAlto800,225899,39630,2016,First Owner,Petrol,MANUAL,Expired,4.3
MarutiSwiftDzireVXI1.2BS,335199,70252,2011,First Owner,Petrol,MANUAL,20-10-2021,4.2
Hyundaii20MAGNAO,221899,55760,2011,First Owner,Petrol,MANUAL,15-02-2021,4.1
RenaultLodgy110PSRXZ8,503799,34812,2015,First Owner,Diesel,MANUAL,02-08-2021,4.3
MarutiAlto,78799,57895,2007,Second Owner,Petrol + CNG,MANUAL,03-02-2021,4.2
Hyundaii20MAGNAO,211699,84826,2010,First Owner,Petrol,MANUAL,Comp,4.3
MarutiSwift,562599,31999,2012,First Owner,Petrol,MANUAL,Expired,4.7
HyundaiGrandi10SPORTZ1.2KAPPA,451699,13349,2016,First Owner,Petrol,MANUAL,08-01-2021,4.4
ChevroletCruzeLTZ,325199,98989,2011,First Owner,Diesel,AUTOMATIC,Expired,4.8
RenaultKwid,321799,5160,2018,First Owner,Petrol,MANUAL,29-01-2022,4.9
MarutiVitaraBrezzaZDI,951099,28572,2018,First Owner,Diesel,MANUAL,30-07-2021,4.9
HyundaiXcentS,336099,75891,2014,First Owner,Petrol,MANUAL,31-12-2020,4.3
HondaCityV,391499,113241,2012,First Owner,Petrol,AUTOMATIC,27-02-2021,4.1
MarutiWagonR1.0,343899,17101,2018,First Owner,Petrol,MANUAL,Expired,4.7
HyundaiVernaFLUIDIC1.6SX,322999,84048,2012,First Owner,Diesel,MANUAL,19-07-2021,4.4
FordEcosport1.5TITANIUM,439299,152554,2014,First Owner,Diesel,MANUAL,14-06-2021,4.4
ToyotaEtiosLivaGD,393660,97467,2013,First Owner,Diesel,MANUAL,10-11-2021,4.6
MarutiNewWagon-RLXI1.0,478399,13185,2019,First Owner,Petrol,DL5C,Expired,4.7
MarutiRitzVXIBS,196999,114109,2010,First Owner,Petrol,MANUAL,17-09-2021,4.4
MarutiSwiftVDI,566399,70952,2015,First Owner,Diesel,MANUAL,17-07-2021,4.7
MarutiSwiftDzireVDIBS,335599,80394,2013,First Owner,Diesel,MANUAL,30-01-2021,3.9
MarutiRitzVXI,208199,56276,2009,Second Owner,Petrol,MANUAL,25-01-2021,4.3
HyundaiElitei20MAGNA1.4,588399,110531,2015,First Owner,Diesel,MANUAL,10-06-2021,4.9
HyundaiGrandi10ERA1.2,345799,23794,2014,Second Owner,Petrol,MANUAL,24-06-2021,4.6
MarutiWagonR1.0LXI,242499,88514,2015,Second Owner,Petrol + CNG,MANUAL,26-07-2021,4.4
HondaCitySMT,242299,76901,2009,First Owner,Petrol,MANUAL,05-05-2021,4.1
MarutiSwiftVXI,241699,103401,2008,Third Owner,Petrol,MANUAL,14-03-2021,4
HyundaiSantroXingGL,288099,55945,2011,First Owner,Petrol,MANUAL,20-10-2021,4.2
HyundaiGrandi10MAGNA1.2,303399,106064,2013,First Owner,Petrol,MANUAL,27-02-2021,4.2
HyundaiElitei20SPORTZ,544699,35153,2016,First Owner,Petrol,MANUAL,12-10-2021,4.9
MarutiSwiftDzireVXI1.2BS,354699,135829,2013,Second Owner,Petrol,MANUAL,Expired,3.8
HyundaiElitei20SPORTZ,552899,58361,2016,Second Owner,Petrol + CNG,MANUAL,14-04-2021,4.7
MarutiRitzVXIBS,294599,45465,2014,Second Owner,Petrol,MANUAL,06-07-2021,4.5
HyundaiVernaFLUIDIC1.6SX,415499,49718,2013,First Owner,Diesel,MANUAL,30-01-2021,4.3
MarutiEeco5STRWITHAC,389899,32883,2017,First Owner,Petrol,MANUAL,19-09-2021,4.3
HyundaiSantroXingXOERLXEURO,215599,82791,2007,First Owner,Petrol,MANUAL,25-05-2021,4.3
Hyundaii20MAGNAO,235699,71611,2011,Second Owner,Petrol,MANUAL,31-07-2021,4.1
MarutiCiazVDI,491399,103867,2014,First Owner,Diesel,MANUAL,05-01-2022,4.3
HyundaiElitei20SPORTZ,554899,109448,2016,First Owner,Diesel,MANUAL,25-10-2021,4.5
MarutiSwiftDzire,281499,97436,2010,First Owner,Diesel,MANUAL,28-10-2021,4.2
MarutiAStar,199899,68714,2010,Second Owner,Petrol,MANUAL,21-09-2021,4.2
MahindraScorpio,1117599,72706,2017,First Owner,Diesel,MANUAL,13-03-2021,4.3
MarutiSwiftDzire,193499,89412,2008,Second Owner,Petrol,MANUAL,Expired,4.5
ToyotaEtios,262499,170425,2011,First Owner,Petrol,MANUAL,10-04-2021,4.2
RenaultDusterRXZ85PS,867399,32783,2017,First Owner,Diesel,MANUAL,23-02-2021,4.4
MarutiVitaraBrezza,935399,4566,2019,First Owner,Diesel,MANUAL,06-01-2023,4.9
MarutiDzireVDI,653399,13492,2018,First Owner,Diesel,AUTOMATIC,11-11-2021,4.9
MarutiCelerioVXI,475299,20324,2018,First Owner,Petrol + CNG,MANUAL,Expired,4.5
MarutiErtiga,479999,62769,2014,First Owner,Petrol,MANUAL,01-06-2021,4.1
HondaBrio1.2SMTI,338799,29104,2015,First Owner,Petrol,MANUAL,30-06-2021,4.5
MarutiSwiftDzireVDIBS,333099,95472,2012,First Owner,Diesel,MANUAL,22-11-2021,4.2
HondaCityVXMT,606399,90509,2015,First Owner,Petrol,MANUAL,30-12-2021,4.3
DatsunGoREMIX,330699,34119,2018,First Owner,Petrol,TN02,Zero_Dep,4.4
MarutiSwift,661399,27055,2019,First Owner,Petrol,MANUAL,01-11-2021,4.9
MarutiRitz,271499,16061,2012,First Owner,Diesel,MANUAL,08-12-2021,4.4
SkodaLauraAMBITION2.0TDICR,322499,109457,2012,Second Owner,Diesel,MANUAL,Expired,4.2
MarutiWagonR1.0,149181,62834,2010,Third Owner,Petrol + CNG,MANUAL,19-02-2021,4.2
DatsunGoREMIX,283090,19549,2018,First Owner,Petrol,GJ27,Zero_Dep,4.6
MarutiAlto800,324399,3495,2019,First Owner,Petrol,MANUAL,08-04-2021,4.9
HondaBrio1.2SMTI,277599,23210,2012,First Owner,Petrol,MANUAL,27-12-2020,4.6
HondaCitySVMT,731019,52528,2016,First Owner,Petrol,MANUAL,08-01-2022,4.8
HyundaiElitei20SPORTZ,522366,13900,2016,First Owner,Petrol,MANUAL,09-10-2021,4.9
HyundaiVerna1.6SX(O)CRDI,955799,50529,2017,First Owner,Diesel,MH12,Zero_Dep,4.7
VolkswagenPoloCOMFORTLINE1.2L,272299,45711,2010,First Owner,Petrol,MANUAL,15-01-2022,4.5
MarutiBalenoDELTADDIS,600399,24274,2018,First Owner,Diesel,MANUAL,25-04-2021,4.6
MarutiSwift,461122,60626,2012,First Owner,Petrol,MANUAL,08-01-2022,4.3
MarutiWagonR1.0LXI,381699,29735,2017,Second Owner,Petrol + CNG,MANUAL,18-09-2021,4.3
ToyotaEtiosVX,472499,56782,2015,First Owner,Diesel,MANUAL,28-02-2021,4.8
MarutiEeco5STRWITHAC,343299,29027,2015,First Owner,Petrol,MANUAL,27-04-2021,4.5
MahindraKuv100K6D6,404786,38594,2016,First Owner,Diesel,MANUAL,05-05-2021,4.3
HondaBrio1.2SMTI,301299,43702,2013,Third Owner,Petrol,MANUAL,26-12-2021,4.2
MarutiSwift,376199,68628,2014,First Owner,Diesel,MANUAL,21-05-2021,4.6
MarutiErtigaVDI,748899,69604,2018,First Owner,Diesel,MANUAL,Expired,4.3
VolkswagenPoloHIGHLINE1.2L,320699,125435,2010,First Owner,Petrol,MANUAL,02-11-2021,4.2
HondaCitySMT,257599,85362,2009,Second Owner,Petrol,MANUAL,Expired,4.4
MarutiAltoK10VXI(O),388899,39845,2018,First Owner,Petrol,DL2C,Third_party,4.9
HyundaiCreta1.6SX,1017499,67987,2016,First Owner,Diesel,HR26,Zero_Dep,4.5
MarutiSwiftDzireVXI1.2BS,282096,90479,2011,First Owner,Petrol,MANUAL,19-02-2021,4.3
MarutiSwiftDzireLDIBS,340899,123363,2014,Second Owner,Diesel,MANUAL,27-08-2021,4.2
MarutiEeco5STRWITHAC,278999,50754,2014,First Owner,Petrol,MANUAL,28-10-2021,3.8
MarutiWagonR1.0,235499,93112,2010,First Owner,Petrol,MANUAL,07-09-2021,4.5
HyundaiEonERA,202699,50877,2012,First Owner,Petrol + CNG,MANUAL,22-01-2022,4.2
MarutiCiazZETA1.5SHVSVVT,936799,11400,2018,First Owner,Petrol,HR26,Zero_Dep,4.9
Hyundaii20ASTA1.4,356499,68559,2012,First Owner,Diesel,MANUAL,19-02-2021,4.3
MarutiAlto,156299,41402,2011,First Owner,Petrol,MANUAL,29-03-2021,4.5
VolkswagenJettaCOMFORTLINE2.0L,382199,105572,2012,Second Owner,Diesel,MANUAL,27-02-2021,4.4
HyundaiGrandi10SPORTZ1.2KAPPA,480299,25338,2016,First Owner,Petrol,MANUAL,06-02-2021,4.9
HyundaiEonMAGNA,211499,28323,2014,First Owner,Petrol,MANUAL,05-11-2021,4.5
MarutiSwift,377899,111379,2013,First Owner,Petrol,MANUAL,28-12-2021,4.4
MarutiWagonR1.0LXI,181999,153709,2013,First Owner,Petrol + CNG,MANUAL,25-05-2021,4.1
Hyundaii10SPORTZ1.2AT,408899,22768,2013,First Owner,Petrol,AUTOMATIC,28-06-2021,4.3
VolkswagenPoloCOMFORTLINE1.5L,424499,133921,2015,First Owner,Diesel,MANUAL,18-01-2022,4
SkodaRapid1.5TDIMT,752999,40267,2017,First Owner,Diesel,MANUAL,16-10-2021,4.9
RenaultDusterRXLAMT110,495299,85369,2016,First Owner,Diesel,AUTOMATIC,10-02-2021,4.2
MahindraScorpio,1192799,23836,2017,First Owner,Diesel,MANUAL,16-04-2021,4.6
MarutiWagonR1.0,346677,30361,2013,First Owner,Petrol,MANUAL,05-03-2021,4.5
MarutiDzire,583799,12400,2017,First Owner,Petrol,MANUAL,20-09-2020,4.8
TataHexaVaricor400,1380699,27929,2018,First Owner,Diesel,AUTOMATIC,31-07-2021,5
MarutiRitz,224999,80575,2012,Second Owner,Diesel,MANUAL,01-06-2021,4.3
MarutiSCrossZETA,681399,42045,2017,First Owner,Diesel,MANUAL,Expired,4.6
MarutiRitz,212299,72428,2012,First Owner,Diesel,MANUAL,20-06-2021,4.1
HyundaiSantroXing,145999,98143,2010,First Owner,Petrol,MANUAL,11-04-2021,4.1
MarutiSwiftDzireVDIBS,353768,98618,2012,First Owner,Diesel,MANUAL,12-02-2021,4.3
MarutiRitz,216799,97984,2013,First Owner,Diesel,MANUAL,09-04-2021,4.2
HyundaiVernaFLUIDIC1.6SXVTVT,430799,51641,2013,First Owner,Petrol,MANUAL,08-10-2021,4.4
MarutiSwiftVXI,504737,94628,2018,First Owner,Petrol + CNG,AUTOMATIC,21-02-2021,4.5
MarutiEeco5STRCNGWITHAC,316653,45174,2015,First Owner,Petrol + CNG,MANUAL,31-12-2020,4.7
ToyotaCorollaAltisVL,462199,86288,2011,Second Owner,Petrol,AUTOMATIC,10-06-2021,4.3
Hyundaii10MAGNA1.2,343199,11234,2011,First Owner,Petrol,MANUAL,04-01-2021,4.4
MahindraTUV300,635099,36705,2015,First Owner,Diesel,MANUAL,04-11-2021,4.6
HondaCityVXMT,726106,28410,2015,Second Owner,Petrol,MANUAL,28-12-2021,4.6
MarutiVitaraBrezzaZDI,932099,20273,2019,First Owner,Diesel,MANUAL,04-02-2021,5
MarutiWagonR,202999,54572,2008,First Owner,Petrol,MANUAL,22-10-2021,4.1
VolkswagenVentoHIGHLINE,341799,87834,2013,First Owner,Diesel,MANUAL,11-04-2021,4.9
MarutiAlto800,223399,33341,2015,First Owner,Petrol,MANUAL,30-12-2020,4.7
HyundaiSantroXingGL,193780,136543,2011,First Owner,Petrol + CNG,MANUAL,08-11-2020,4.3
FordFigo1.2ZXI,231199,102644,2010,Second Owner,Petrol,MANUAL,24-11-2021,3.7
MarutiNewWagon-RVXI,473490,44040,2019,First Owner,Petrol,DL12,Zero_Dep,4.9
MarutiWagonR1.0LXI,239499,88691,2012,Second Owner,Petrol + CNG,MANUAL,15-10-2021,4.4
MahindraTharCRDE4X4BS,950499,7961,2019,First Owner,Diesel,MANUAL,26-05-2021,4.8
MarutiSwiftDzireVDIBS,326199,57730,2012,First Owner,Diesel,MANUAL,29-11-2021,4.4
MarutiSwiftDzire,384599,72105,2012,First Owner,Diesel,MANUAL,17-03-2021,4.2
VolkswagenPoloHIGHLINE1.2L,317799,50372,2011,Second Owner,Petrol,MANUAL,09-07-2021,4.2
HondaCityVXMTO,706899,93031,2016,First Owner,Diesel,MANUAL,30-03-2021,4.6
Hyundaii20ASTA,283400,46121,2012,Third Owner,Petrol,MANUAL,15-09-2021,4.3
HyundaiEonERA,193582,57951,2012,Third Owner,Petrol,MANUAL,07-01-2022,3.7
MarutiAltoK10VXI,310199,26025,2015,Second Owner,Petrol,MH12,Comp,4.3
HondaBrio1.2SMTI,306599,64537,2013,First Owner,Petrol,MANUAL,17-09-2021,4.1
MarutiIGNISDELTA1.2K12,502199,17424,2017,First Owner,Petrol,AUTOMATIC,31-12-2020,4.8
VolkswagenVentoHIGHLINE,244349,87793,2010,First Owner,Petrol,MANUAL,Expired,4.1
MarutiErtiga,380599,81227,2012,Second Owner,Diesel,MANUAL,Expired,4.1
MarutiAlto800,332799,3201,2017,First Owner,Petrol,MANUAL,15-11-2021,4.9
HyundaiSantroXing,210099,82748,2009,Second Owner,Petrol + LPG,MANUAL,Expired,4
HyundaiSantroXingGL,177499,60908,2012,First Owner,Petrol,MANUAL,18-08-2021,3.8
VolkswagenPoloCOMFORTLINE1.2L,256399,63748,2013,First Owner,Petrol,MANUAL,28-06-2021,4
AudiQ335TDI,1608699,87155,2015,First Owner,Diesel,AUTOMATIC,26-04-2021,4.4
AudiQ335TDI,1697199,30500,2015,First Owner,Diesel,AUTOMATIC,16-03-2021,4.8
MarutiEeco5STRCNGWITHAC,399799,72425,2017,First Owner,Petrol + CNG,MANUAL,Expired,4.4
HyundaiVernaFLUIDIC1.6EXCRDI,377499,119439,2013,Second Owner,Diesel,AUTOMATIC,27-03-2021,4.3
MarutiVitaraBrezza,598699,60027,2016,First Owner,Diesel,MANUAL,Expired,4.5
FordEcosport1.5TITANIUMTIVCT,544299,71487,2014,Second Owner,Petrol,AUTOMATIC,Expired,4.5
MarutiZenEstilo,214499,31830,2011,Second Owner,Petrol,MANUAL,03-01-2021,4.4
DatsunGo,189299,27123,2014,First Owner,Petrol,MANUAL,Expired,3.5
MarutiSwift,301899,112723,2012,First Owner,Diesel,MANUAL,Expired,4.5
HondaAmaze1.2EMTI,371299,45940,2015,First Owner,Petrol,MANUAL,08-11-2021,4.3
MarutiCelerioZXI,396899,25538,2017,First Owner,Petrol,AUTOMATIC,Expired,4.6
BMW3Series320D,954099,104921,2012,Third Owner,Diesel,AUTOMATIC,18-12-2020,4.5
Hyundaii10MAGNA1.1,306799,31584,2014,First Owner,Petrol,MANUAL,06-12-2021,4.3
MarutiWagonR1.0LXI,324899,26141,2015,First Owner,Petrol + CNG,MANUAL,02-02-2021,4.2
HyundaiCreta1.6SXPLUS,931399,41831,2017,First Owner,Petrol,MANUAL,Zero_Dep,4.9
MarutiAltoK10,322599,19792,2017,Second Owner,Petrol,MANUAL,22-09-2021,4.8
FordEcosport1.5TITANIUMTIVCT,556199,46594,2015,First Owner,Petrol,AUTOMATIC,12-05-2021,4.3
FordEcosport,733290,20861,2018,Second Owner,Petrol,TN06,Third_party,4.9
MarutiSwiftDzireVXI1.2BS,484799,39550,2015,First Owner,Petrol,MANUAL,31-10-2021,4.6
HondaCityZX1.5,125199,188651,2007,First Owner,Petrol,MANUAL,08-08-2021,4.3
VolkswagenPoloHIGHLINE1.2L,466699,45500,2016,First Owner,Petrol,MANUAL,05-04-2021,4.4
MarutiWagonR1.0LXI,479914,28560,2018,First Owner,Petrol + CNG,MANUAL,28-07-2021,4.5
Hyundaii10MAGNA,149199,72565,2009,Second Owner,Petrol,MANUAL,18-05-2021,4.1
