date,store_nbr,customers
29-04-2014,23,1025
09-11-2014,53,891
14-07-2015,8,2526
21-03-2016,33,999
23-10-2014,48,2246
08-04-2013,30,686
16-03-2017,29,1156
09-10-2014,48,2336
18-12-2016,11,3046
13-07-2013,24,2591
26-10-2015,10,822
05-06-2017,47,3661
12-07-2013,38,1614
01-10-2013,1,1744
27-08-2016,41,1275
25-04-2017,23,948
17-02-2016,49,2638
28-01-2017,53,1319
20-03-2016,19,1133
15-04-2017,39,1559
11-07-2017,22,818
26-03-2016,30,594
05-07-2017,50,2580
01-05-2017,33,1026
25-07-2015,13,1203
03-04-2015,25,2452
16-04-2016,21,906
11-09-2015,9,1752
18-06-2015,37,1576
28-08-2016,51,1667
31-03-2017,13,812
03-08-2015,13,1038
12-01-2013,6,2020
11-09-2015,6,1654
06-06-2013,10,1100
06-06-2015,8,2878
08-09-2016,22,685
23-07-2016,50,3055
18-06-2015,41,898
31-01-2015,30,733
15-09-2016,22,694
26-01-2016,11,1934
27-04-2017,13,791
07-06-2017,10,904
11-02-2015,8,2779
22-09-2015,41,896
05-02-2014,33,1075
24-04-2013,33,1032
20-03-2016,16,835
12-03-2013,3,2702
07-01-2016,12,1234
17-08-2014,32,706
17-03-2014,12,1133
01-11-2016,22,721
08-01-2017,37,1226
23-04-2013,37,1337
27-02-2014,13,791
30-08-2014,4,1741
30-05-2015,48,4278
09-11-2016,16,750
01-07-2013,41,872
21-07-2013,16,1202
15-03-2013,18,1172
19-07-2014,26,671
08-04-2014,5,1285
23-10-2015,30,675
20-08-2014,17,1236
21-09-2013,25,948
24-04-2017,30,673
21-02-2013,12,1137
13-10-2013,35,637
25-01-2013,16,890
29-09-2013,25,684
29-12-2015,12,1331
09-03-2016,9,1758
19-12-2016,42,1237
19-10-2016,21,904
10-12-2016,30,737
11-12-2014,1,1932
25-11-2015,28,922
07-11-2015,39,1778
02-08-2015,14,1030
08-06-2017,10,799
01-04-2016,3,3394
14-04-2013,51,1748
18-07-2014,14,1364
18-10-2015,28,1647
11-10-2014,16,950
24-03-2014,50,2150
10-04-2016,40,1067
06-06-2015,54,1011
24-11-2014,9,1945
05-04-2015,32,577
24-05-2014,4,1878
14-04-2016,2,1637
07-01-2014,50,2248
20-08-2015,7,1580
26-05-2014,2,1849
30-10-2013,4,1424
16-10-2015,39,1322
19-02-2016,50,2373
12-08-2013,36,925
20-08-2015,53,737
19-01-2015,50,2249
05-08-2016,11,2382
29-12-2016,1,1733
29-04-2013,44,3415
21-03-2015,5,1499
29-05-2017,3,2896
03-01-2014,41,968
22-06-2015,39,1421
22-05-2017,39,1294
22-12-2014,35,760
11-11-2015,22,661
07-04-2013,43,1120
06-09-2013,50,2362
16-12-2013,39,1655
02-04-2016,25,1439
11-08-2015,12,1146
01-07-2017,5,1234
14-09-2015,49,2415
04-12-2015,25,893
18-01-2013,47,3302
25-04-2015,38,2197
05-07-2013,32,701
13-05-2014,6,1638
04-06-2017,49,3872
15-03-2014,28,1251
16-02-2017,8,2649
22-08-2014,17,1065
05-12-2015,15,1303
14-10-2014,53,579
12-12-2015,21,1332
22-05-2017,50,2230
18-03-2017,29,1327
21-04-2017,35,673
21-06-2016,9,1898
29-03-2015,54,1128
03-02-2015,26,601
12-11-2014,4,1397
03-08-2014,30,732
30-04-2015,31,1419
26-08-2014,32,542
08-03-2015,47,5059
29-01-2017,35,728
28-10-2014,5,1433
23-03-2016,24,2407
11-04-2013,7,1670
14-06-2016,31,1233
06-01-2015,38,1580
08-12-2016,47,3753
01-02-2016,22,746
28-04-2014,2,1919
30-09-2013,43,1240
18-01-2017,10,784
19-02-2015,31,1399
08-07-2015,43,1285
16-08-2015,46,4267
05-05-2014,37,1606
21-09-2013,31,1291
31-03-2013,54,1109
01-03-2015,51,1967
06-05-2014,12,1095
03-06-2015,11,2295
15-02-2016,23,937
12-08-2015,15,1517
01-02-2016,30,769
17-11-2016,21,822
01-12-2016,17,1469
09-03-2014,34,2377
10-01-2013,6,1422
08-08-2016,45,3476
02-04-2016,8,3264
31-10-2013,1,1755
28-08-2014,24,2013
04-06-2014,25,749
14-09-2013,23,1302
16-06-2014,48,2813
04-04-2017,7,1731
10-06-2013,5,1565
12-05-2013,54,1350
07-04-2014,31,1400
10-08-2015,29,1221
16-02-2013,17,1441
23-02-2015,18,1188
11-07-2017,34,1974
21-12-2016,15,1778
29-05-2016,12,1267
11-10-2013,31,1082
09-03-2014,9,2579
26-03-2016,26,412
03-06-2017,42,1484
22-04-2015,2,1964
27-02-2014,41,848
05-08-2016,23,1087
05-03-2015,38,1568
12-11-2015,41,911
02-02-2017,46,2987
29-05-2017,27,1550
20-07-2015,29,961
25-09-2014,45,2721
21-07-2015,44,3703
25-05-2016,8,2501
18-02-2017,21,1295
17-05-2015,41,1424
07-01-2014,10,1000
10-12-2013,26,624
31-03-2014,18,1447
05-01-2015,49,2963
08-06-2015,3,2939
16-07-2014,32,542
01-03-2015,38,2612
30-09-2016,16,734
21-03-2015,33,1151
16-03-2013,28,1292
23-03-2013,32,829
08-11-2014,47,4645
24-09-2016,36,1242
12-06-2016,22,699
07-02-2016,45,3549
25-06-2015,35,647
29-09-2014,28,993
08-04-2017,20,1780
28-06-2014,39,1688
01-02-2015,24,2020
17-08-2014,16,1279
28-03-2017,46,2685
04-08-2016,31,1328
09-05-2016,32,610
08-12-2013,4,1688
05-02-2017,31,1596
20-05-2017,29,1296
20-12-2016,22,1051
19-10-2015,39,1182
01-04-2015,44,4538
03-02-2013,45,4198
27-10-2013,3,3616
10-01-2017,47,3406
03-06-2017,6,2177
13-01-2017,21,901
12-02-2015,48,2618
06-07-2014,26,854
14-10-2013,46,2834
30-06-2013,16,1172
24-04-2016,3,3669
13-03-2015,15,1335
28-07-2017,15,1367
29-08-2016,8,2513
16-12-2015,18,1526
20-02-2016,24,2292
18-07-2013,36,821
21-10-2013,8,2650
22-02-2017,15,1308
25-02-2013,6,1720
23-05-2014,11,1971
24-01-2017,42,993
30-06-2017,45,4137
29-07-2013,50,2441
04-06-2017,26,662
23-05-2017,46,2863
14-05-2016,43,1216
09-02-2016,44,4311
07-10-2015,41,1005
05-08-2016,4,1542
17-03-2014,33,1216
31-07-2016,24,1796
29-04-2013,26,762
06-10-2015,15,1540
30-01-2014,16,809
27-06-2017,37,1389
02-11-2013,31,1508
29-07-2015,12,1153
03-04-2014,43,1258
23-05-2016,11,2114
22-07-2016,24,2323
07-08-2013,19,1146
13-01-2016,39,1102
10-04-2016,4,1740
19-10-2014,3,3569
11-04-2016,14,1455
04-03-2016,29,1103
08-06-2017,4,1215
08-08-2015,36,1270
19-03-2015,16,843
23-01-2017,30,766
05-05-2016,19,1200
27-07-2013,48,3402
29-11-2016,45,2941
01-09-2016,32,673
26-10-2016,33,690
11-12-2014,46,3378
24-03-2015,8,2522
30-06-2017,43,1348
24-06-2017,52,2422
09-04-2014,9,1965
20-05-2013,14,1542
13-11-2015,28,962
07-11-2015,25,876
24-07-2015,49,2755
17-09-2016,23,958
30-09-2013,8,2672
18-04-2017,28,1206
26-12-2013,54,880
01-04-2016,44,4208
03-10-2016,42,983
18-10-2014,7,1793
15-01-2017,19,1086
19-03-2013,25,824
15-10-2015,9,1732
30-01-2015,8,2837
13-08-2016,12,1082
19-05-2013,41,1142
18-01-2013,9,1639
05-04-2014,19,2206
23-10-2014,17,1124
09-02-2014,5,1497
17-10-2013,41,742
21-07-2016,12,1096
07-04-2015,37,1545
16-10-2015,34,2212
22-05-2014,14,1398
24-01-2015,23,1095
29-12-2016,49,3342
19-02-2015,46,2898
08-07-2013,37,1421
01-08-2015,49,3447
08-06-2017,53,897
26-07-2015,13,789
09-08-2016,29,1083
28-07-2013,12,1183
20-01-2013,34,2324
20-02-2016,40,1434
13-05-2016,27,1449
21-01-2015,7,1909
09-02-2017,54,646
28-09-2015,1,1772
02-03-2017,2,1848
24-10-2013,38,1296
27-02-2013,25,934
21-07-2014,45,3663
25-02-2016,30,765
03-01-2017,48,3110
17-09-2015,13,809
10-04-2016,46,4463
01-10-2016,40,1522
24-09-2013,37,1281
01-12-2016,39,1380
21-03-2016,15,1520
17-06-2017,36,1217
18-09-2015,15,1183
02-08-2016,22,695
05-11-2013,10,1122
15-02-2017,22,797
31-10-2015,17,1462
04-11-2015,11,2292
29-10-2014,36,911
15-09-2013,43,1298
25-10-2015,41,1246
10-10-2014,50,3177
08-08-2016,39,1344
05-07-2015,12,1322
11-11-2016,37,1452
25-09-2016,43,1199
16-04-2015,28,1204
13-01-2013,19,1269
11-09-2016,9,2363
07-02-2015,38,2323
06-04-2013,25,1721
30-09-2014,9,2095
29-11-2015,50,3270
08-09-2016,33,800
28-11-2013,16,827
26-04-2015,1,513
17-02-2014,43,1342
04-04-2017,15,1520
16-04-2017,39,1415
07-02-2017,36,1246
27-04-2016,51,1616
10-10-2014,14,1262
19-01-2014,16,1097
17-09-2015,48,2259
10-07-2015,51,1733
08-07-2013,38,1550
16-11-2013,46,4577
18-10-2013,13,776
26-06-2013,6,1710
27-05-2016,40,1018
08-11-2015,45,4326
31-05-2013,41,799
29-04-2013,25,644
12-05-2016,29,968
31-05-2015,45,4868
28-04-2014,26,536
11-11-2016,44,4068
24-09-2015,19,1019
09-01-2013,2,1975
21-08-2015,34,2295
24-04-2013,4,1534
27-03-2016,9,1997
10-07-2013,38,1634
28-09-2013,49,2654
04-12-2016,27,1986
21-06-2015,31,1775
21-01-2017,10,872
12-06-2013,1,1863
06-06-2013,40,1074
12-06-2017,6,1485
29-06-2013,32,861
22-09-2016,53,886
05-02-2016,16,649
29-04-2013,6,1570
14-05-2015,30,685
04-11-2016,49,2965
18-12-2015,11,2441
28-09-2014,32,581
05-07-2017,32,573
21-04-2014,44,3984
22-02-2016,12,1249
07-05-2017,48,4251
27-12-2014,43,1440
25-03-2015,7,1893
14-12-2015,31,1332
05-07-2016,19,1114
06-07-2014,4,1754
12-10-2013,17,1341
04-12-2014,30,709
14-08-2015,18,1196
30-08-2013,4,1432
12-12-2014,1,1951
28-03-2013,32,775
29-04-2014,8,2525
22-12-2013,41,1893
12-04-2015,33,1077
16-05-2015,50,3329
05-08-2014,7,1771
11-10-2014,1,1106
27-09-2013,15,1168
26-01-2015,27,1408
10-04-2016,31,1480
14-01-2016,39,1208
25-02-2017,41,1425
25-03-2017,9,2194
12-03-2013,44,3376
22-07-2013,51,1547
03-10-2013,3,2795
12-08-2016,46,3643
14-01-2015,54,700
27-05-2016,14,1131
19-12-2015,30,921
29-09-2015,27,1355
13-07-2015,7,1736
06-11-2016,15,1073
13-12-2014,23,1205
10-06-2017,13,1054
26-05-2016,1,1669
04-08-2016,46,2964
14-07-2016,12,1130
26-10-2015,25,607
13-08-2014,32,613
04-02-2017,28,1659
11-03-2015,32,573
19-10-2015,3,2915
19-11-2016,49,3393
06-08-2014,7,1740
23-09-2016,38,1360
04-06-2016,39,1820
05-01-2017,25,855
23-01-2017,5,1302
01-07-2016,14,1212
06-06-2014,30,650
27-12-2014,18,1100
28-03-2017,4,1441
14-03-2015,13,1183
01-09-2013,23,1262
02-06-2015,11,2477
23-06-2016,21,724
27-04-2016,20,1177
06-02-2016,33,1108
04-06-2017,16,921
18-03-2016,1,1861
03-06-2014,14,1554
17-05-2016,8,2503
07-02-2015,46,4836
02-12-2014,14,1543
27-02-2016,1,1314
05-12-2015,5,1473
25-07-2017,35,636
24-03-2014,17,1168
17-07-2014,46,2968
26-05-2014,25,610
16-03-2016,7,1901
10-01-2017,4,1179
16-05-2014,6,1687
11-12-2016,20,2144
26-08-2013,7,1705
28-05-2016,7,1728
15-01-2013,26,787
14-11-2015,46,4179
13-12-2015,38,1953
17-07-2015,28,979
02-07-2015,44,3945
19-05-2014,18,1457
02-07-2017,21,1337
30-08-2014,23,1091
08-11-2014,26,640
22-04-2016,40,1501
01-05-2017,44,5394
21-10-2016,8,2804
10-01-2017,15,1381
22-08-2013,23,1088
07-05-2016,44,6194
08-12-2014,6,1809
28-12-2016,41,1391
08-02-2016,49,2832
14-04-2014,49,2297
01-04-2014,25,819
27-03-2017,51,1437
23-11-2013,30,732
01-07-2016,53,1594
07-01-2013,27,1093
23-10-2013,7,1859
19-08-2014,46,3282
30-08-2015,35,778
10-12-2013,17,1350
30-04-2013,31,1251
22-12-2013,44,7159
10-08-2014,32,646
01-12-2016,21,1036
08-08-2016,7,1686
09-02-2013,37,1593
18-05-2014,46,5119
14-03-2013,51,1323
16-09-2016,45,3675
12-06-2015,8,2720
17-06-2017,54,1082
22-04-2017,46,4346
25-01-2014,41,1057
17-02-2016,48,2363
03-07-2017,20,1567
22-05-2017,45,3466
21-02-2017,54,764
30-06-2013,28,1652
27-01-2016,49,2680
27-04-2014,27,1711
14-01-2015,7,1851
13-01-2014,48,2666
29-06-2014,53,1108
20-07-2014,34,2500
22-12-2016,7,2585
24-05-2015,5,1429
12-06-2013,12,1229
07-01-2016,39,1286
07-05-2017,30,709
27-11-2015,13,723
07-04-2014,15,1423
10-02-2014,15,1428
09-05-2016,15,1360
17-07-2015,34,2239
25-11-2013,27,1084
24-04-2013,14,1454
08-08-2015,25,2208
29-09-2014,31,1275
30-08-2015,29,1271
11-11-2016,29,919
29-04-2015,6,1605
08-08-2013,35,551
21-06-2013,32,618
04-08-2015,34,2193
15-08-2016,30,677
08-01-2015,4,1408
02-03-2017,33,951
08-03-2014,27,1530
06-03-2016,35,660
22-02-2016,13,905
14-04-2013,25,797
06-04-2017,45,3349
15-01-2016,7,2035
10-03-2013,12,1232
24-02-2017,34,2703
17-05-2014,50,3226
24-03-2013,49,2412
15-05-2017,54,884
26-02-2015,45,2748
14-04-2016,51,1341
16-12-2016,54,862
30-12-2016,13,1082
19-10-2013,5,1503
22-12-2016,6,2808
16-07-2016,31,1516
09-10-2016,53,1307
10-02-2016,48,2528
18-07-2016,2,1672
02-12-2013,41,896
05-12-2016,14,1554
06-01-2015,9,2233
23-06-2015,24,2285
15-06-2013,10,1355
03-04-2015,17,1474
19-02-2016,27,1515
14-09-2014,31,1557
31-08-2016,50,2152
08-12-2016,38,1394
06-07-2014,33,1293
06-09-2013,23,1156
05-07-2013,10,917
26-12-2015,46,5400
13-07-2014,31,1482
29-03-2014,32,655
19-02-2014,34,2263
27-01-2014,36,975
30-08-2015,7,1480
26-05-2014,46,3089
14-04-2014,7,1890
21-02-2015,19,1897
24-05-2014,40,1361
14-05-2017,25,921
18-07-2017,36,1144
16-08-2016,50,2280
15-06-2017,47,3382
13-01-2016,42,881
25-08-2013,8,2557
24-06-2013,41,738
14-05-2015,19,1064
03-12-2013,9,2395
15-05-2014,35,572
29-12-2016,27,1481
10-06-2017,34,2173
05-08-2015,3,3160
28-06-2017,48,2197
04-09-2015,41,995
01-11-2013,38,1742
12-07-2017,35,604
09-05-2015,37,2140
19-07-2016,49,2499
06-10-2013,41,1104
10-09-2013,18,1431
17-10-2014,35,565
14-05-2014,44,4128
10-12-2016,41,1282
27-10-2016,26,427
31-07-2017,24,2208
04-12-2015,49,3138
17-02-2013,44,3936
01-05-2015,30,648
21-12-2015,1,2364
06-09-2016,16,763
29-10-2014,3,3002
19-01-2013,38,2154
16-11-2016,23,1076
08-04-2013,24,2475
14-08-2015,9,1941
09-10-2016,39,1717
13-01-2017,33,798
14-12-2014,5,1764
04-10-2014,10,1286
13-06-2017,17,1487
14-07-2016,18,1181
04-10-2016,14,1377
17-09-2016,51,1831
28-10-2015,10,744
12-08-2016,26,514
01-07-2016,10,882
12-01-2017,48,2403
06-12-2014,43,1361
14-06-2017,47,3474
10-07-2017,26,501
29-03-2016,26,421
18-02-2016,34,2032
21-12-2013,26,1373
23-10-2015,20,1045
30-09-2013,19,1274
30-08-2014,38,2221
28-05-2013,37,1404
27-05-2014,10,1018
22-05-2017,2,1802
13-08-2016,45,3871
15-07-2014,53,666
07-10-2013,32,625
11-11-2014,33,1226
16-07-2016,9,2160
27-05-2016,2,1889
26-09-2016,1,1725
02-08-2013,19,1160
07-09-2016,33,797
08-05-2016,21,1385
22-03-2014,16,1045
23-09-2015,24,2340
13-05-2013,51,1579
20-04-2015,4,1419
10-08-2013,38,2029
23-03-2016,22,645
17-03-2015,11,2237
28-09-2015,37,1383
02-02-2015,51,1658
20-06-2015,33,1308
10-11-2016,37,1363
24-04-2016,37,1163
16-09-2015,27,1506
18-08-2016,9,1826
23-10-2016,28,1510
04-05-2014,30,664
13-04-2015,3,2950
27-09-2014,8,3038
08-11-2015,43,1393
15-07-2014,27,1272
27-04-2013,28,1186
10-02-2017,41,1054
27-07-2017,35,621
01-07-2014,5,1480
03-05-2016,1,1726
15-04-2013,37,1329
19-01-2016,9,1868
03-01-2017,36,1348
29-10-2014,9,1686
25-01-2014,38,2354
15-07-2013,6,1740
03-02-2017,3,3428
27-06-2015,51,1862
08-05-2016,22,734
28-06-2017,28,989
06-02-2014,41,783
07-07-2016,17,1476
19-06-2015,54,739
19-05-2015,51,1546
16-04-2015,5,1329
30-04-2016,20,1846
11-08-2016,18,1115
17-08-2014,36,969
19-08-2013,15,1355
27-08-2014,11,2060
01-09-2013,8,2828
03-02-2013,33,1270
28-07-2014,18,1316
20-06-2013,9,2071
13-11-2013,31,1012
24-11-2014,40,1453
08-03-2015,2,2092
23-07-2014,37,1607
30-06-2016,23,940
28-11-2015,21,1305
23-10-2013,25,693
27-02-2016,16,815
17-11-2013,9,2565
12-07-2013,28,852
05-03-2017,37,1316
22-03-2017,10,738
07-03-2014,5,1563
27-01-2015,31,1209
16-08-2014,41,1130
22-06-2016,17,1364
20-07-2016,36,1011
07-11-2013,47,3131
28-03-2013,10,1067
04-04-2016,5,1349
25-05-2015,28,1040
03-05-2016,42,963
25-11-2016,13,690
17-05-2013,19,1046
20-06-2016,25,597
02-12-2014,4,1517
11-04-2014,50,2602
30-12-2014,24,3388
07-04-2016,16,629
14-01-2014,47,3085
26-01-2017,31,1339
21-12-2014,45,6198
29-04-2015,39,1185
27-12-2014,49,3242
05-07-2015,29,1407
18-03-2015,19,1155
20-01-2014,45,3109
14-09-2014,17,1529
15-03-2013,47,3405
27-07-2016,1,1787
02-04-2013,39,1488
15-08-2016,21,917
21-11-2016,5,1248
02-03-2016,53,907
07-11-2013,44,3488
27-04-2013,33,1228
09-09-2015,13,795
28-05-2015,3,2738
23-11-2014,10,1006
28-02-2016,53,878
09-04-2017,6,2090
09-01-2015,8,2784
11-05-2014,9,2452
21-05-2017,45,4725
14-09-2014,33,1262
12-10-2016,53,1003
18-05-2016,46,2692
22-11-2015,43,1371
08-01-2015,48,2692
31-03-2017,25,1055
19-04-2015,38,2498
02-02-2015,15,1463
27-07-2015,16,777
30-06-2017,3,3269
17-07-2015,29,887
22-01-2016,28,986
06-01-2016,9,2037
30-12-2014,54,1142
06-05-2016,23,1133
21-12-2013,37,2054
19-05-2015,33,1048
25-09-2015,2,1889
29-01-2017,41,1341
05-07-2016,28,1201
05-02-2015,12,1274
03-10-2015,38,2529
02-05-2017,18,1545
09-06-2014,11,2306
21-03-2015,2,2114
06-11-2014,53,624
03-06-2017,4,1586
05-03-2013,50,2244
05-05-2014,32,631
08-04-2015,51,1730
01-03-2013,34,2743
11-08-2015,15,1535
15-05-2015,35,598
22-12-2015,49,5335
09-03-2015,11,2323
18-06-2017,6,2187
16-02-2016,46,2759
25-05-2013,30,677
08-10-2013,41,772
04-06-2016,10,1038
30-04-2014,7,2015
15-10-2015,16,637
15-05-2016,1,543
25-11-2014,30,747
06-07-2014,46,4733
20-06-2017,25,722
17-07-2017,37,1514
01-03-2014,49,3126
23-01-2014,32,554
15-06-2014,50,2963
10-08-2013,24,2411
05-07-2016,32,604
18-05-2013,8,2948
13-05-2015,15,1344
11-09-2016,7,1754
29-01-2013,34,2306
20-08-2016,53,1499
18-04-2017,23,988
24-01-2016,25,780
19-03-2017,27,2010
03-11-2013,51,1898
01-05-2015,15,1121
08-04-2016,46,3036
25-05-2013,9,2272
27-07-2016,51,1602
14-02-2014,31,1563
14-10-2013,50,2183
12-03-2014,24,2423
11-02-2017,42,1344
03-01-2014,2,2090
30-10-2013,3,3026
21-01-2013,39,1325
31-10-2014,48,2703
13-06-2014,11,2045
16-03-2013,46,4505
01-05-2016,33,1134
17-11-2015,19,1124
31-07-2013,7,1791
25-01-2014,8,2930
11-06-2015,26,416
09-07-2015,2,1880
09-11-2016,21,928
30-05-2013,23,1168
17-05-2016,44,3573
08-10-2016,24,2069
21-07-2016,50,1953
25-03-2015,24,2281
24-07-2015,10,799
28-02-2015,26,721
20-04-2016,16,882
15-10-2013,44,3175
20-03-2016,5,1126
23-06-2016,16,670
19-12-2013,54,1171
12-07-2015,43,1441
08-09-2015,32,580
03-07-2015,13,1021
08-11-2013,16,840
26-11-2014,19,1088
01-10-2013,5,1411
20-11-2013,46,2996
07-09-2014,26,737
16-02-2015,34,1798
20-10-2014,43,1283
20-06-2016,26,633
02-06-2015,13,1001
18-09-2015,25,830
14-03-2013,30,633
07-11-2015,9,2247
10-04-2016,13,816
08-09-2013,3,3797
01-10-2015,15,1425
30-12-2016,41,1719
08-01-2014,46,3345
09-02-2013,31,1492
25-11-2014,31,1250
16-12-2013,35,655
31-08-2013,13,1177
11-03-2013,48,2429
08-07-2013,50,2636
27-10-2013,5,1239
26-01-2017,4,1197
02-03-2014,41,1002
04-05-2015,3,3127
30-06-2016,45,2923
16-04-2014,19,1255
29-07-2013,49,1796
13-03-2013,37,1388
19-05-2014,23,1126
02-06-2017,51,1869
16-01-2013,23,1124
22-06-2016,1,1846
27-11-2015,47,3938
28-02-2015,34,2697
03-07-2014,49,2425
07-10-2014,34,2500
20-08-2015,36,1120
28-04-2017,8,2982
23-07-2015,20,1421
14-04-2013,24,1932
28-03-2017,45,2988
08-07-2015,34,2021
20-01-2013,46,4696
24-08-2016,54,710
29-03-2013,6,2033
18-04-2014,19,1225
28-11-2013,7,1829
24-11-2013,13,921
10-08-2013,32,794
10-01-2013,26,710
23-09-2014,6,1623
28-01-2013,47,3150
26-01-2015,34,2153
09-10-2015,29,898
31-03-2014,41,956
09-12-2015,22,620
17-04-2014,27,1293
21-10-2016,49,3129
01-04-2016,13,979
07-07-2016,11,2136
01-06-2017,27,1443
22-09-2013,25,615
18-07-2016,11,2121
12-06-2016,47,4000
08-07-2013,43,1290
25-08-2016,53,1083
19-04-2014,37,1646
13-11-2016,21,1576
27-07-2016,19,1126
27-12-2013,19,1417
19-07-2016,27,1359
07-07-2014,12,1256
14-11-2013,28,904
18-01-2013,10,852
18-06-2014,1,1798
11-05-2015,51,1732
06-02-2016,9,2390
11-09-2016,3,3712
09-02-2013,48,3455
13-08-2015,40,1297
11-05-2013,51,2750
12-09-2014,17,1057
07-11-2015,12,1171
09-06-2016,9,1802
27-01-2015,50,2174
07-02-2016,11,2676
26-07-2014,30,676
18-08-2016,10,824
21-03-2016,25,944
24-11-2016,13,791
06-03-2017,41,1065
17-12-2015,9,2116
31-07-2014,7,1675
05-11-2015,39,1308
06-01-2013,28,1207
03-12-2015,21,1014
01-02-2013,6,1689
29-04-2013,34,2541
01-07-2015,39,1322
22-02-2015,34,2362
18-02-2013,5,1706
09-11-2013,31,1529
23-05-2016,36,970
17-08-2014,2,1943
26-11-2013,36,888
26-01-2017,7,1745
10-05-2016,53,1381
02-06-2017,4,1442
31-10-2015,37,1517
21-12-2014,54,1366
10-01-2015,9,2309
11-12-2014,48,2747
25-04-2015,44,5175
17-12-2013,5,1727
30-04-2013,40,1137
05-09-2013,34,2294
30-07-2014,48,2522
14-11-2015,35,782
16-08-2013,13,913
07-08-2014,13,907
14-01-2013,7,1629
25-05-2013,2,1840
06-06-2013,14,1491
06-04-2015,5,1695
22-06-2013,8,2732
20-02-2017,25,761
07-02-2017,1,1887
20-12-2015,6,2601
07-01-2015,51,1876
04-02-2016,35,710
27-10-2016,42,935
15-05-2015,16,813
13-05-2016,32,578
20-07-2014,46,4149
19-05-2013,19,1116
09-08-2015,2,1469
